English,standard bangla,garo,marma,chakma
How is the quality of this fabric?,এই কাপড়ের মান কেমন?,,,এই হাবর আনর মান হিদিক্কিন
Are these shoes compact and stylish?,এই জুতাগুলি কি কমপ্যাক্ট এবং স্টাইলিশ?,,,এই জুতো উন হি কম্প্যাক্ট আর স্টাইলিশ?
Has this product received enough user reviews?,এই প্রোডাক্টটি কি ব্যবহারকারীদের পর্যাপ্ত রেভিউ পেয়েছে?,,,এই পণ্য আন হি যথেষ্ট রিভিউ পিয়ি যিগুন ব্যবহার গুচ্ছোং?
Are there any designs on this fabric?,এই কাপড়ের উপর কোন ডিজাইন আছে?,,,এই হাবর আনর হন ডিজাইন আগে?
Is this fabric durable?,এই কাপড়টি স্থায়ী কিনা,,,এই হাবর আন স্থায়ী নাহি?
Do these shoes look great?,এই জুতাগুলি কি চমৎকার দেখতে?,,,এই জুতো উন দেগতে চমৎকার 
Are these boots right for me?,এই বুটগুলি আমার জন্য ঠিক আছে কি?,,,এই বুট আনি হি মর লাই ঠিগ আগে?
How much is this garment selling for?,এই পোশাকটি কত দিয়ে বিক্রয় হচ্ছে?,,,এই হাবর আন হদক দি বেজা জেব?
Is this size in my size?,এটি আমার সাইজের আছে কি?,,,ইয়ান ম সাইজের আগে
Bangladesh is a South Asian country.,বাংলাদেশ একটি দক্ষিণ এশিয়ান দেশ।,,,বাংলাদেজ আন ইজ্ঞু দক্ষিণ এশিয়ার দেজ
Dhaka is the capital and largest city of Bangladesh.,ঢাকা বাংলাদেশের রাজধানী এবং সবচেয়ে বড় শহর।,,,ঢাকা বাংলাদেজর রাজধানী এবং বেগ দাঙর শহর
Bangladesh is a populous country.,বাংলাদেশ একটি জনবহুল দেশ।,,,বাংলাদেজ ইজ্ঞু জনবহুল দেজ
Bangladesh is located between the Ganges and Brahmaputra rivers.,গঙ্গা ও ব্রহ্মপুত্র নদীর মধ্যে অবস্থিত বাংলাদেশ।,,,গংগা ও বক্ষপুত্র নদীতল্র আনির মধ্যেন্দি বাংলাদেজ আন আগে
"According to the origin of Bangladesh, it experiences heavy rainfall.",বাংলাদেশের সূচনা অনুযায়ী বৃষ্টিতে প্রচুর আবহাওয়া হয়,,,বাংলাদেহর আবহাওয়া সূচনা ইনুসারে বেজ ঝড় বুয়ের অর
Rajshahi is the last major city of Bangladesh.,রাজশাহী বাংলাদেশের শেষ বড় শহর।,,,মুই এই শাড়ি গহনা আনি সেবার সাঙ
Sundarbans is a special wetland in Bangladesh.,সুন্দরবন বাংলাদেশের একটি বিশেষ জলভূমি।,,,সন্দরবন আন বাংলাদেজের ইজ্ঞু বিশেষ জলভুমি
Bengali is the main language in Bangladesh.,বাংলাদেশে বাংলা ভাষা প্রধান ভাষা,,,বাংলাদেজট বাংলা আন প্রধান ভাষা
Bangladesh is the largest language-speaking country in the world.,বাংলাদেশে বিশ্বের বৃহত্তম ভাষাভাষী দেশ,,,বাংলাদেজ আন বিশ্ব আনট দাঙর ভাষাভাষির দেজ
